デバイス名,定義名,スプライト名,ステート,Note
A端子,TYPE_A,TYPE_A_ON,作動時,作動時　導通ON
A端子,TYPE_A,TYPE_A_OFF,待機時,待機時　導通OFF
,,,,
B端子,TYPE_B,TYPE_B_ON,待機時,待機時　導通ON
B端子,TYPE_B,TYPE_B_OFF,作動時,作動時　導通OFF
,,,,
入力 コイル,INCOIL,INCOIL_ON,作動時,作動時　導通ON
入力 コイル,INCOIL,INCOIL_OFF,待機時,待機時　導通OFF
,,,,
リンク,LINK,LINK_SIDE,なし,横向きデバイスからライン、ラインからライン、ラインらデバイスを接続
リンク,LINK,LINK_UP,なし,ラインから上向きに配置される。
リンク,LINK,LINK_DOWN,なし,ラインから下向きに配置される
,,,,
削除,DEL,DEL,なし,編集画面での削除機能
,,,,
タイマ,TIMER,TIMER_STANBY,待機中,待機時　導通OFF
タイマ,TIMER,TIMER_CNTUP,カウントアップ中,待機時　導通OFF
タイマ,TIMER,TIMER_ON,作動時,作動時　導通ON
,,,,
出力コイル,OUTCOIL_NML,OUTCOIL_NML_ON,作動時,作動時　導通ON
出力コイル,OUTCOIL_NML,OUTCOIL_NML_OFF,待機時,待機時　導通OFF
,,,,
出力コイル,OUTCOIL_REV,OUTCOIL_REV_ON,作動時,待機時　導通OFF
出力コイル,OUTCOIL_REV,OUTCOIL_REV_OFF,待機時,作動時　導通ON
